index,First Name,Last Name,Email Address,Prefix,College Name,Degree,Field of Study,Year of Graduation,Year of Entry,Employer Name,Job Domain,Job Title,Date of birth,Club1 ,CLub2,Club3,Club4,Reason
0,Kendra,Shea,sadye.reynolds@beer.net,Mr,College of Education,BA,CLASSROOM TEACHING,1994,1990,Keene High School,,Education / High School,7/28/1982,Men's Basketball,Men's Basketball,,,Name of the Club is not listed in Sports Club sheet
0,Kendra,Shea,sadye.reynolds@beer.net,Mr,College of Education,BA,CLASSROOM TEACHING,1994,1990,Keene High School,,Education / High School,7/28/1982,Men's Basketball,Men's Basketball,,,Cell(s) contains N/A value
1,Zavier,Cohen,prudence24@gmail.com,Captain,College of Business Administration,BBA,FINANCE,1995,1991,Keene High School,Special Education Teacher,Education / High School,1/25/1982,,,,,Name of the Club is not listed in Sports Club sheet
1,Zavier,Cohen,prudence24@gmail.com,Captain,College of Business Administration,BBA,FINANCE,1995,1991,Keene High School,Special Education Teacher,Education / High School,1/25/1982,,,,,Cell(s) contains N/A value
2,Jonah,Meyers,alfred.parker@gmail.com,Lt Col,College of Education,BA,COUNSELING,1999,1095,,Education,Teacher,12/2/1981,Centenary Gent Mascot,Men's Baseball,,,Cell(s) contains N/A value
2,Jonah,Meyers,alfred.parker@gmail.com,Lt Col,College of Education,BA,COUNSELING,1999,1095,,Education,Teacher,12/2/1981,Centenary Gent Mascot,Men's Baseball,,,Name of the Club is not listed in Sports Club sheet
2,Jonah,Meyers,alfred.parker@gmail.com,Lt Col,College of Education,BA,COUNSELING,1999,1095,,Education,Teacher,12/2/1981,Centenary Gent Mascot,Men's Baseball,,,Employer Name is Empty even when Job Domain or Job Title is given
3,Alfredo,Randall,maeve.jacobson@yahoo.com,Dr,College of Engineering,PHD,Environmental Science & Engineering,1999,1095,ABQ Help Partners LLC,Dir. IT Applications,Computers,3/27/1900,,,,,Cell(s) contains N/A value
3,Alfredo,Randall,maeve.jacobson@yahoo.com,Dr,College of Engineering,PHD,Environmental Science & Engineering,1999,1095,ABQ Help Partners LLC,Dir. IT Applications,Computers,3/27/1900,,,,,Name of the Club is not listed in Sports Club sheet
4,April,Merritt,idell.labadie@hotmail.com,Mrs,College of Health Sciences,BS,SPCH/HEARING/LANG DI,2000,1996,Union Leader Corp.,Staff Sports Writer,Radio/ Television/ Newspaper,7/24/1981,,,,,Cell(s) contains N/A value
4,April,Merritt,idell.labadie@hotmail.com,Mrs,College of Health Sciences,BS,SPCH/HEARING/LANG DI,2000,1996,Union Leader Corp.,Staff Sports Writer,Radio/ Television/ Newspaper,7/24/1981,,,,,Name of the Club is not listed in Sports Club sheet
5,Alex,Montoya,everette52@glover.com,Mrs,College of Business Administration,BA,BUSINESS ADMINISTRATION,2006,1002,The Revolution Group,Technical Recruiter,Communications,12/13/1981,Men's Soccer,Men's Lacrosse,,,Cell(s) contains N/A value
5,Alex,Montoya,everette52@glover.com,Mrs,College of Business Administration,BA,BUSINESS ADMINISTRATION,2006,1002,The Revolution Group,Technical Recruiter,Communications,12/13/1981,Men's Soccer,Men's Lacrosse,,,Name of the Club is not listed in Sports Club sheet
6,Sullivan,Braun,gussie.carter@gerhold.org,Senator,College of Business Administration,BBA,Information systems,2008,2004,Air Canada,,Air Transportation,1/15/2091,Women's Soccer,,,,Name of the Club is not listed in Sports Club sheet
6,Sullivan,Braun,gussie.carter@gerhold.org,Senator,College of Business Administration,BBA,Information systems,2008,2004,Air Canada,,Air Transportation,1/15/2091,Women's Soccer,,,,Cell(s) contains N/A value
6,Sullivan,Braun,gussie.carter@gerhold.org,Senator,College of Business Administration,BBA,Information systems,2008,2004,Air Canada,,Air Transportation,1/15/2091,Women's Soccer,,,,Year of birth in Date of birth column has an unrealistic value
7,Ezequiel,Bolton,arvel25@yahoo.com,Dr,College of Business Administration,BBA,FINANCE,2001,1997,Aetna Life & Casualty,Ret. Ins.,,1/20/2092,,,,,Year of birth in Date of birth column has an unrealistic value
7,Ezequiel,Bolton,arvel25@yahoo.com,Dr,College of Business Administration,BBA,FINANCE,2001,1997,Aetna Life & Casualty,Ret. Ins.,,1/20/2092,,,,,Name of the Club is not listed in Sports Club sheet
7,Ezequiel,Bolton,arvel25@yahoo.com,Dr,College of Business Administration,BBA,FINANCE,2001,1997,Aetna Life & Casualty,Ret. Ins.,,1/20/2092,,,,,Cell(s) contains N/A value
8,Karlee,Alexander,erwin92@yahoo.com,Mrs,College of Education,BA,COUNSELING,2001,1997,Idexx Labs Inc.,,,8/16/1982,Women's Gymnastics,Women's Swim Team,,,Name of the Club is not listed in Sports Club sheet
8,Karlee,Alexander,erwin92@yahoo.com,Mrs,College of Education,BA,COUNSELING,2001,1997,Idexx Labs Inc.,,,8/16/1982,Women's Gymnastics,Women's Swim Team,,,Cell(s) contains N/A value
9,Rene,Lozano,wpouros@yahoo.com,Mrs,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,1995,1991,,President,Retail,5/25/1982,,,,,Cell(s) contains N/A value
9,Rene,Lozano,wpouros@yahoo.com,Mrs,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,1995,1991,,President,Retail,5/25/1982,,,,,Employer Name is Empty even when Job Domain or Job Title is given
9,Rene,Lozano,wpouros@yahoo.com,Mrs,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,1995,1991,,President,Retail,5/25/1982,,,,,Name of the Club is not listed in Sports Club sheet
10,,Mcclain,raynor.kali@braun.net,Mrs,College of Business Administration,BBA,PRE BUSINESS,2003,1099,Acuity Imaging,Principal Software Engr.,Computers,9/3/1982,Men's Golf,,,,Name of the Club is not listed in Sports Club sheet
10,,Mcclain,raynor.kali@braun.net,Mrs,College of Business Administration,BBA,PRE BUSINESS,2003,1099,Acuity Imaging,Principal Software Engr.,Computers,9/3/1982,Men's Golf,,,,Either First Name or Last Name is Blank
